DEPTH,PERM,PHIE,PHIT,SWE_WAXMAN,SWTF_WAXMAN,well_name
30.5,-999.25,-999.25,-999.25,-999.25,1,well 1
31,-999.25,-999.25,-999.25,-999.25,1,well 1
31.5,-999.25,-999.25,-999.25,-999.25,1,well 1
32,-999.25,-999.25,-999.25,-999.25,1,well 1
32.5,-999.25,-999.25,-999.25,-999.25,1,well 1
33,-999.25,-999.25,-999.25,-999.25,1,well 1
33.5,-999.25,-999.25,-999.25,-999.25,1,well 1
34,-999.25,-999.25,-999.25,-999.25,1,well 1
34.5,-999.25,-999.25,-999.25,-999.25,1,well 1
35,-999.25,-999.25,-999.25,-999.25,1,well 1
35.5,-999.25,-999.25,-999.25,-999.25,1,well 1
36,-999.25,-999.25,-999.25,-999.25,1,well 1
36.5,-999.25,-999.25,-999.25,-999.25,1,well 1
37,-999.25,-999.25,-999.25,-999.25,1,well 1
37.5,-999.25,-999.25,-999.25,-999.25,1,well 1
38,-999.25,-999.25,-999.25,-999.25,1,well 1
38.5,-999.25,-999.25,-999.25,-999.25,1,well 1
39,-999.25,-999.25,-999.25,-999.25,1,well 1
39.5,-999.25,-999.25,-999.25,-999.25,1,well 1
40,-999.25,-999.25,-999.25,-999.25,1,well 1
40.5,-999.25,-999.25,-999.25,-999.25,1,well 1
41,-999.25,-999.25,-999.25,-999.25,1,well 1
41.5,-999.25,-999.25,-999.25,-999.25,1,well 1
42,-999.25,-999.25,-999.25,-999.25,1,well 1
42.5,-999.25,-999.25,-999.25,-999.25,1,well 1
43,-999.25,-999.25,-999.25,-999.25,1,well 1
43.5,-999.25,-999.25,-999.25,-999.25,1,well 1
44,-999.25,-999.25,-999.25,-999.25,1,well 1
44.5,-999.25,-999.25,-999.25,-999.25,1,well 1
45,-999.25,-999.25,-999.25,-999.25,1,well 1
45.5,-999.25,-999.25,-999.25,-999.25,1,well 1
46,-999.25,-999.25,-999.25,-999.25,1,well 1
46.5,-999.25,-999.25,-999.25,-999.25,1,well 1
47,-999.25,-999.25,-999.25,-999.25,1,well 1
47.5,-999.25,-999.25,-999.25,-999.25,1,well 1
48,-999.25,-999.25,-999.25,-999.25,1,well 1
48.5,-999.25,-999.25,-999.25,-999.25,1,well 1
49,-999.25,-999.25,-999.25,-999.25,1,well 1
49.5,-999.25,-999.25,-999.25,-999.25,1,well 1
50,-999.25,-999.25,-999.25,-999.25,1,well 1
50.5,-999.25,-999.25,-999.25,-999.25,1,well 1
51,-999.25,-999.25,-999.25,-999.25,1,well 1
51.5,-999.25,-999.25,-999.25,-999.25,1,well 1
52,-999.25,-999.25,-999.25,-999.25,1,well 1
52.5,-999.25,-999.25,-999.25,-999.25,1,well 1
53,-999.25,-999.25,-999.25,-999.25,1,well 1
53.5,-999.25,-999.25,-999.25,-999.25,1,well 1
54,-999.25,-999.25,-999.25,-999.25,1,well 1
54.5,-999.25,-999.25,-999.25,-999.25,1,well 1
55,-999.25,-999.25,-999.25,-999.25,1,well 1
55.5,-999.25,-999.25,-999.25,-999.25,1,well 1
56,-999.25,-999.25,-999.25,-999.25,1,well 1
56.5,-999.25,-999.25,-999.25,-999.25,1,well 1
57,-999.25,-999.25,-999.25,-999.25,1,well 1
57.5,-999.25,-999.25,-999.25,-999.25,1,well 1
58,-999.25,-999.25,-999.25,-999.25,1,well 1
58.5,-999.25,-999.25,-999.25,-999.25,1,well 1
59,-999.25,-999.25,-999.25,-999.25,1,well 1
59.5,-999.25,-999.25,-999.25,-999.25,1,well 1
60,-999.25,-999.25,-999.25,-999.25,1,well 1
60.5,-999.25,-999.25,-999.25,-999.25,1,well 1
61,-999.25,-999.25,-999.25,-999.25,1,well 1
61.5,-999.25,-999.25,-999.25,-999.25,1,well 1
62,-999.25,-999.25,-999.25,-999.25,1,well 1
62.5,-999.25,-999.25,-999.25,-999.25,1,well 1
63,-999.25,-999.25,-999.25,-999.25,1,well 1
63.5,-999.25,-999.25,-999.25,-999.25,1,well 1
64,-999.25,-999.25,-999.25,-999.25,1,well 1
64.5,-999.25,-999.25,-999.25,-999.25,1,well 1
65,-999.25,-999.25,-999.25,-999.25,1,well 1
65.5,-999.25,-999.25,-999.25,-999.25,1,well 1
66,-999.25,-999.25,-999.25,-999.25,1,well 1
66.5,-999.25,-999.25,-999.25,-999.25,1,well 1
67,-999.25,-999.25,-999.25,-999.25,1,well 1
67.5,-999.25,-999.25,-999.25,-999.25,1,well 1
68,-999.25,-999.25,-999.25,-999.25,1,well 1
68.5,-999.25,-999.25,-999.25,-999.25,1,well 1
69,-999.25,-999.25,-999.25,-999.25,1,well 1
69.5,-999.25,-999.25,-999.25,-999.25,1,well 1
70,-999.25,-999.25,-999.25,-999.25,1,well 1
70.5,-999.25,-999.25,-999.25,-999.25,1,well 1
71,-999.25,-999.25,-999.25,-999.25,1,well 1
71.5,-999.25,-999.25,-999.25,-999.25,1,well 1
72,-999.25,-999.25,-999.25,-999.25,1,well 1
72.5,-999.25,-999.25,-999.25,-999.25,1,well 1
73,-999.25,-999.25,-999.25,-999.25,1,well 1
73.5,-999.25,-999.25,-999.25,-999.25,1,well 1
74,-999.25,-999.25,-999.25,-999.25,1,well 1
74.5,-999.25,-999.25,-999.25,-999.25,1,well 1
75,-999.25,-999.25,-999.25,-999.25,1,well 1
75.5,-999.25,-999.25,-999.25,-999.25,1,well 1
76,-999.25,-999.25,-999.25,-999.25,1,well 1
76.5,-999.25,-999.25,-999.25,-999.25,1,well 1
77,-999.25,-999.25,-999.25,-999.25,1,well 1
77.5,-999.25,-999.25,-999.25,-999.25,1,well 1
78,-999.25,-999.25,-999.25,-999.25,1,well 1
78.5,-999.25,-999.25,-999.25,-999.25,1,well 1
79,-999.25,-999.25,-999.25,-999.25,1,well 1
79.5,-999.25,-999.25,-999.25,-999.25,1,well 1
80,-999.25,-999.25,-999.25,-999.25,1,well 1
80.5,-999.25,-999.25,-999.25,-999.25,1,well 1
81,-999.25,-999.25,-999.25,-999.25,1,well 1
81.5,-999.25,-999.25,-999.25,-999.25,1,well 1
82,-999.25,-999.25,-999.25,-999.25,1,well 1
82.5,-999.25,-999.25,-999.25,-999.25,1,well 1
83,-999.25,-999.25,-999.25,-999.25,1,well 1
83.5,-999.25,-999.25,-999.25,-999.25,1,well 1
84,-999.25,-999.25,-999.25,-999.25,1,well 1
84.5,-999.25,-999.25,-999.25,-999.25,1,well 1
85,-999.25,-999.25,-999.25,-999.25,1,well 1
85.5,-999.25,-999.25,-999.25,-999.25,1,well 1
86,-999.25,-999.25,-999.25,-999.25,1,well 1
86.5,-999.25,-999.25,-999.25,-999.25,1,well 1
87,-999.25,-999.25,-999.25,-999.25,1,well 1
87.5,-999.25,-999.25,-999.25,-999.25,1,well 1
88,-999.25,-999.25,-999.25,-999.25,1,well 1
88.5,-999.25,-999.25,-999.25,-999.25,1,well 1
89,-999.25,-999.25,-999.25,-999.25,1,well 1
89.5,-999.25,-999.25,-999.25,-999.25,1,well 1
90,-999.25,-999.25,-999.25,-999.25,1,well 1
90.5,-999.25,-999.25,-999.25,-999.25,1,well 1
91,-999.25,-999.25,-999.25,-999.25,1,well 1
91.5,-999.25,-999.25,-999.25,-999.25,1,well 1
92,-999.25,-999.25,-999.25,-999.25,1,well 1
92.5,-999.25,-999.25,-999.25,-999.25,1,well 1
93,-999.25,-999.25,-999.25,-999.25,1,well 1
93.5,-999.25,-999.25,-999.25,-999.25,1,well 1
94,-999.25,-999.25,-999.25,-999.25,1,well 1
94.5,-999.25,-999.25,-999.25,-999.25,1,well 1
95,-999.25,-999.25,-999.25,-999.25,1,well 1
95.5,-999.25,-999.25,-999.25,-999.25,1,well 1
96,-999.25,-999.25,-999.25,-999.25,1,well 1
96.5,-999.25,-999.25,-999.25,-999.25,1,well 1
97,-999.25,-999.25,-999.25,-999.25,1,well 1
97.5,-999.25,-999.25,-999.25,-999.25,1,well 1
98,-999.25,-999.25,-999.25,-999.25,1,well 1
98.5,-999.25,-999.25,-999.25,-999.25,1,well 1
99,-999.25,-999.25,-999.25,-999.25,1,well 1
99.5,-999.25,-999.25,-999.25,-999.25,1,well 1
100,-999.25,-999.25,-999.25,-999.25,1,well 1
100.5,-999.25,-999.25,-999.25,-999.25,1,well 1
101,-999.25,-999.25,-999.25,-999.25,1,well 1
101.5,-999.25,-999.25,-999.25,-999.25,1,well 1
102,-999.25,-999.25,-999.25,-999.25,1,well 1
102.5,-999.25,-999.25,-999.25,-999.25,1,well 1
103,-999.25,-999.25,-999.25,-999.25,1,well 1
103.5,-999.25,-999.25,-999.25,-999.25,1,well 1
104,-999.25,-999.25,-999.25,-999.25,1,well 1
104.5,-999.25,-999.25,-999.25,-999.25,1,well 1
105,-999.25,-999.25,-999.25,-999.25,1,well 1
105.5,-999.25,-999.25,-999.25,-999.25,1,well 1
106,-999.25,-999.25,-999.25,-999.25,1,well 1
106.5,-999.25,-999.25,-999.25,-999.25,1,well 1
107,-999.25,-999.25,-999.25,-999.25,1,well 1
107.5,-999.25,-999.25,-999.25,-999.25,1,well 1
108,-999.25,-999.25,-999.25,-999.25,1,well 1
108.5,-999.25,-999.25,-999.25,-999.25,1,well 1
109,-999.25,-999.25,-999.25,-999.25,1,well 1
109.5,-999.25,-999.25,-999.25,-999.25,1,well 1
110,-999.25,-999.25,-999.25,-999.25,1,well 1
110.5,-999.25,-999.25,-999.25,-999.25,1,well 1
111,-999.25,-999.25,-999.25,-999.25,1,well 1
111.5,-999.25,-999.25,-999.25,-999.25,1,well 1
112,-999.25,-999.25,-999.25,-999.25,1,well 1
112.5,-999.25,-999.25,-999.25,-999.25,1,well 1
113,-999.25,-999.25,-999.25,-999.25,1,well 1
113.5,-999.25,-999.25,-999.25,-999.25,1,well 1
114,-999.25,-999.25,-999.25,-999.25,1,well 1
114.5,-999.25,-999.25,-999.25,-999.25,1,well 1
115,-999.25,-999.25,-999.25,-999.25,1,well 1
115.5,-999.25,-999.25,-999.25,-999.25,1,well 1
116,-999.25,-999.25,-999.25,-999.25,1,well 1
116.5,-999.25,-999.25,-999.25,-999.25,1,well 1
117,-999.25,-999.25,-999.25,-999.25,1,well 1
117.5,-999.25,-999.25,-999.25,-999.25,1,well 1
118,-999.25,-999.25,-999.25,-999.25,1,well 1
118.5,-999.25,-999.25,-999.25,-999.25,1,well 1
119,-999.25,-999.25,-999.25,-999.25,1,well 1
119.5,-999.25,-999.25,-999.25,-999.25,1,well 1
120,-999.25,-999.25,-999.25,-999.25,1,well 1
120.5,-999.25,-999.25,-999.25,-999.25,1,well 1
121,-999.25,-999.25,-999.25,-999.25,1,well 1
121.5,-999.25,-999.25,-999.25,-999.25,1,well 1
122,-999.25,-999.25,-999.25,-999.25,1,well 1
122.5,-999.25,-999.25,-999.25,-999.25,1,well 1
123,-999.25,-999.25,-999.25,-999.25,1,well 1
123.5,-999.25,-999.25,-999.25,-999.25,1,well 1
124,-999.25,-999.25,-999.25,-999.25,1,well 1
124.5,-999.25,-999.25,-999.25,-999.25,1,well 1
125,-999.25,-999.25,-999.25,-999.25,1,well 1
125.5,-999.25,-999.25,-999.25,-999.25,1,well 1
126,-999.25,-999.25,-999.25,-999.25,1,well 1
126.5,-999.25,-999.25,-999.25,-999.25,1,well 1
127,-999.25,-999.25,-999.25,-999.25,1,well 1
127.5,-999.25,-999.25,-999.25,-999.25,1,well 1
128,-999.25,-999.25,-999.25,-999.25,1,well 1
128.5,-999.25,-999.25,-999.25,-999.25,1,well 1
129,-999.25,-999.25,-999.25,-999.25,1,well 1
129.5,-999.25,-999.25,-999.25,-999.25,1,well 1
130,-999.25,-999.25,-999.25,-999.25,1,well 1
130.5,-999.25,-999.25,-999.25,-999.25,1,well 1
131,-999.25,-999.25,-999.25,-999.25,1,well 1
131.5,-999.25,-999.25,-999.25,-999.25,1,well 1
132,-999.25,-999.25,-999.25,-999.25,1,well 1
132.5,-999.25,-999.25,-999.25,-999.25,1,well 1
133,-999.25,-999.25,-999.25,-999.25,1,well 1
133.5,-999.25,-999.25,-999.25,-999.25,1,well 1
134,-999.25,-999.25,-999.25,-999.25,1,well 1
134.5,-999.25,-999.25,-999.25,-999.25,1,well 1
135,-999.25,-999.25,-999.25,-999.25,1,well 1
135.5,-999.25,-999.25,-999.25,-999.25,1,well 1
136,-999.25,-999.25,-999.25,-999.25,1,well 1
136.5,-999.25,-999.25,-999.25,-999.25,1,well 1
137,-999.25,-999.25,-999.25,-999.25,1,well 1
137.5,-999.25,-999.25,-999.25,-999.25,1,well 1
138,-999.25,-999.25,-999.25,-999.25,1,well 1
138.5,-999.25,-999.25,-999.25,-999.25,1,well 1
139,-999.25,-999.25,-999.25,-999.25,1,well 1
139.5,-999.25,-999.25,-999.25,-999.25,1,well 1
140,-999.25,-999.25,-999.25,-999.25,1,well 1
140.5,-999.25,-999.25,-999.25,-999.25,1,well 1
141,-999.25,-999.25,-999.25,-999.25,1,well 1
141.5,-999.25,-999.25,-999.25,-999.25,1,well 1
142,-999.25,-999.25,-999.25,-999.25,1,well 1
142.5,-999.25,-999.25,-999.25,-999.25,1,well 1
143,-999.25,-999.25,-999.25,-999.25,1,well 1
143.5,-999.25,-999.25,-999.25,-999.25,1,well 1
144,-999.25,-999.25,-999.25,-999.25,1,well 1
144.5,-999.25,-999.25,-999.25,-999.25,1,well 1
145,-999.25,-999.25,-999.25,-999.25,1,well 1
145.5,-999.25,-999.25,-999.25,-999.25,1,well 1
146,-999.25,-999.25,-999.25,-999.25,1,well 1
146.5,-999.25,-999.25,-999.25,-999.25,1,well 1
147,-999.25,-999.25,-999.25,-999.25,1,well 1
147.5,-999.25,-999.25,-999.25,-999.25,1,well 1
148,-999.25,-999.25,-999.25,-999.25,1,well 1
148.5,-999.25,-999.25,-999.25,-999.25,1,well 1
149,-999.25,-999.25,-999.25,-999.25,1,well 1
149.5,-999.25,-999.25,-999.25,-999.25,1,well 1
150,-999.25,-999.25,-999.25,-999.25,1,well 1
150.5,-999.25,-999.25,-999.25,-999.25,1,well 1
151,-999.25,-999.25,-999.25,-999.25,1,well 1
151.5,-999.25,-999.25,-999.25,-999.25,1,well 1
152,-999.25,-999.25,-999.25,-999.25,1,well 1
152.5,-999.25,-999.25,-999.25,-999.25,1,well 1
153,-999.25,-999.25,-999.25,-999.25,1,well 1
153.5,-999.25,-999.25,-999.25,-999.25,1,well 1
154,-999.25,-999.25,-999.25,-999.25,1,well 1
154.5,-999.25,-999.25,-999.25,-999.25,1,well 1
155,-999.25,-999.25,-999.25,-999.25,1,well 1
155.5,-999.25,-999.25,-999.25,-999.25,1,well 1
156,-999.25,-999.25,-999.25,-999.25,1,well 1
156.5,-999.25,-999.25,-999.25,-999.25,1,well 1
157,-999.25,-999.25,-999.25,-999.25,1,well 1
157.5,-999.25,-999.25,-999.25,-999.25,1,well 1
158,-999.25,-999.25,-999.25,-999.25,1,well 1
158.5,-999.25,-999.25,-999.25,-999.25,1,well 1
159,-999.25,-999.25,-999.25,-999.25,1,well 1
159.5,-999.25,-999.25,-999.25,-999.25,1,well 1
160,-999.25,-999.25,-999.25,-999.25,1,well 1
160.5,-999.25,-999.25,-999.25,-999.25,1,well 1
161,-999.25,-999.25,-999.25,-999.25,1,well 1
161.5,-999.25,-999.25,-999.25,-999.25,1,well 1
162,-999.25,-999.25,-999.25,-999.25,1,well 1
162.5,-999.25,-999.25,-999.25,-999.25,1,well 1
163,-999.25,-999.25,-999.25,-999.25,1,well 1
163.5,-999.25,-999.25,-999.25,-999.25,1,well 1
164,-999.25,-999.25,-999.25,-999.25,1,well 1
164.5,-999.25,-999.25,-999.25,-999.25,1,well 1
165,-999.25,-999.25,-999.25,-999.25,1,well 1
165.5,-999.25,-999.25,-999.25,-999.25,1,well 1
166,-999.25,-999.25,-999.25,-999.25,1,well 1
166.5,-999.25,-999.25,-999.25,-999.25,1,well 1
167,-999.25,-999.25,-999.25,-999.25,1,well 1
167.5,-999.25,-999.25,-999.25,-999.25,1,well 1
168,-999.25,-999.25,-999.25,-999.25,1,well 1
168.5,-999.25,-999.25,-999.25,-999.25,1,well 1
169,-999.25,-999.25,-999.25,-999.25,1,well 1
169.5,-999.25,-999.25,-999.25,-999.25,1,well 1
170,-999.25,-999.25,-999.25,-999.25,1,well 1
170.5,-999.25,-999.25,-999.25,-999.25,1,well 1
171,-999.25,-999.25,-999.25,-999.25,1,well 1
171.5,-999.25,-999.25,-999.25,-999.25,1,well 1
172,-999.25,-999.25,-999.25,-999.25,1,well 1
172.5,-999.25,-999.25,-999.25,-999.25,1,well 1
173,-999.25,-999.25,-999.25,-999.25,1,well 1
173.5,-999.25,-999.25,-999.25,-999.25,1,well 1
174,-999.25,-999.25,-999.25,-999.25,1,well 1
174.5,-999.25,-999.25,-999.25,-999.25,1,well 1
175,-999.25,-999.25,-999.25,-999.25,1,well 1
175.5,-999.25,-999.25,-999.25,-999.25,1,well 1
176,-999.25,-999.25,-999.25,-999.25,1,well 1
176.5,-999.25,-999.25,-999.25,-999.25,1,well 1
177,-999.25,-999.25,-999.25,-999.25,1,well 1
177.5,-999.25,-999.25,-999.25,-999.25,1,well 1
178,-999.25,-999.25,-999.25,-999.25,1,well 1
178.5,-999.25,-999.25,-999.25,-999.25,1,well 1
179,-999.25,-999.25,-999.25,-999.25,1,well 1
179.5,-999.25,-999.25,-999.25,-999.25,1,well 1
180,-999.25,-999.25,-999.25,-999.25,1,well 1
180.5,-999.25,-999.25,-999.25,-999.25,1,well 1
181,-999.25,-999.25,-999.25,-999.25,1,well 1
181.5,-999.25,-999.25,-999.25,-999.25,1,well 1
182,-999.25,-999.25,-999.25,-999.25,1,well 1
182.5,-999.25,-999.25,-999.25,-999.25,1,well 1
183,-999.25,-999.25,-999.25,-999.25,1,well 1
183.5,-999.25,-999.25,-999.25,-999.25,1,well 1
184,-999.25,-999.25,-999.25,-999.25,1,well 1
184.5,-999.25,-999.25,-999.25,-999.25,1,well 1
185,-999.25,-999.25,-999.25,-999.25,1,well 1
185.5,-999.25,-999.25,-999.25,-999.25,1,well 1
186,-999.25,-999.25,-999.25,-999.25,1,well 1
186.5,-999.25,-999.25,-999.25,-999.25,1,well 1
187,-999.25,-999.25,-999.25,-999.25,1,well 1
187.5,-999.25,-999.25,-999.25,-999.25,1,well 1
188,-999.25,-999.25,-999.25,-999.25,1,well 1
188.5,-999.25,-999.25,-999.25,-999.25,1,well 1
189,-999.25,-999.25,-999.25,-999.25,1,well 1
189.5,-999.25,-999.25,-999.25,-999.25,1,well 1
190,-999.25,-999.25,-999.25,-999.25,1,well 1
190.5,-999.25,-999.25,-999.25,-999.25,1,well 1
191,-999.25,-999.25,-999.25,-999.25,1,well 1
191.5,-999.25,-999.25,-999.25,-999.25,1,well 1
192,-999.25,-999.25,-999.25,-999.25,1,well 1
192.5,-999.25,-999.25,-999.25,-999.25,1,well 1
193,-999.25,-999.25,-999.25,-999.25,1,well 1
193.5,-999.25,-999.25,-999.25,-999.25,1,well 1
194,-999.25,-999.25,-999.25,-999.25,1,well 1
194.5,-999.25,-999.25,-999.25,-999.25,1,well 1
195,-999.25,-999.25,-999.25,-999.25,1,well 1
195.5,-999.25,-999.25,-999.25,-999.25,1,well 1
196,-999.25,-999.25,-999.25,-999.25,1,well 1
196.5,-999.25,-999.25,-999.25,-999.25,1,well 1
197,-999.25,-999.25,-999.25,-999.25,1,well 1
197.5,-999.25,-999.25,-999.25,-999.25,1,well 1
198,-999.25,-999.25,-999.25,-999.25,1,well 1
198.5,-999.25,-999.25,-999.25,-999.25,1,well 1
199,-999.25,-999.25,-999.25,-999.25,1,well 1
199.5,-999.25,-999.25,-999.25,-999.25,1,well 1
200,-999.25,-999.25,-999.25,-999.25,1,well 1
200.5,-999.25,-999.25,-999.25,-999.25,1,well 1
201,-999.25,-999.25,-999.25,-999.25,1,well 1
201.5,-999.25,-999.25,-999.25,-999.25,1,well 1
202,-999.25,-999.25,-999.25,-999.25,1,well 1
202.5,-999.25,-999.25,-999.25,-999.25,1,well 1
203,-999.25,-999.25,-999.25,-999.25,1,well 1
203.5,-999.25,-999.25,-999.25,-999.25,1,well 1
204,-999.25,-999.25,-999.25,-999.25,1,well 1
204.5,-999.25,-999.25,-999.25,-999.25,1,well 1
205,-999.25,-999.25,-999.25,-999.25,1,well 1
205.5,-999.25,-999.25,-999.25,-999.25,1,well 1
206,-999.25,-999.25,-999.25,-999.25,1,well 1
206.5,-999.25,-999.25,-999.25,-999.25,1,well 1
207,-999.25,-999.25,-999.25,-999.25,1,well 1
207.5,-999.25,-999.25,-999.25,-999.25,1,well 1
208,-999.25,-999.25,-999.25,-999.25,1,well 1
208.5,-999.25,-999.25,-999.25,-999.25,1,well 1
209,-999.25,-999.25,-999.25,-999.25,1,well 1
209.5,-999.25,-999.25,-999.25,-999.25,1,well 1
210,-999.25,-999.25,-999.25,-999.25,1,well 1
210.5,-999.25,-999.25,-999.25,-999.25,1,well 1
211,-999.25,-999.25,-999.25,-999.25,1,well 1
211.5,-999.25,-999.25,-999.25,-999.25,1,well 1
212,-999.25,-999.25,-999.25,-999.25,1,well 1
212.5,-999.25,-999.25,-999.25,-999.25,1,well 1
213,-999.25,-999.25,-999.25,-999.25,1,well 1
213.5,-999.25,-999.25,-999.25,-999.25,1,well 1
214,-999.25,-999.25,-999.25,-999.25,1,well 1
214.5,-999.25,-999.25,-999.25,-999.25,1,well 1
215,-999.25,-999.25,-999.25,-999.25,1,well 1
215.5,-999.25,-999.25,-999.25,-999.25,1,well 1
216,-999.25,-999.25,-999.25,-999.25,1,well 1
216.5,-999.25,-999.25,-999.25,-999.25,1,well 1
217,-999.25,-999.25,-999.25,-999.25,1,well 1
217.5,-999.25,-999.25,-999.25,-999.25,1,well 1
218,-999.25,-999.25,-999.25,-999.25,1,well 1
218.5,-999.25,-999.25,-999.25,-999.25,1,well 1
219,-999.25,-999.25,-999.25,-999.25,1,well 1
219.5,-999.25,-999.25,-999.25,-999.25,1,well 1
220,-999.25,-999.25,-999.25,-999.25,1,well 1
220.5,-999.25,-999.25,-999.25,-999.25,1,well 1
221,-999.25,-999.25,-999.25,-999.25,1,well 1
221.5,-999.25,-999.25,-999.25,-999.25,1,well 1
222,-999.25,-999.25,-999.25,-999.25,1,well 1
222.5,-999.25,-999.25,-999.25,-999.25,1,well 1
223,-999.25,-999.25,-999.25,-999.25,1,well 1
223.5,-999.25,-999.25,-999.25,-999.25,1,well 1
224,-999.25,-999.25,-999.25,-999.25,1,well 1
224.5,-999.25,-999.25,-999.25,-999.25,1,well 1
225,-999.25,-999.25,-999.25,-999.25,1,well 1
225.5,-999.25,-999.25,-999.25,-999.25,1,well 1
226,-999.25,-999.25,-999.25,-999.25,1,well 1
226.5,-999.25,-999.25,-999.25,-999.25,1,well 1
227,-999.25,-999.25,-999.25,-999.25,1,well 1
227.5,-999.25,-999.25,-999.25,-999.25,1,well 1
228,-999.25,-999.25,-999.25,-999.25,1,well 1
228.5,-999.25,-999.25,-999.25,-999.25,1,well 1
229,-999.25,-999.25,-999.25,-999.25,1,well 1
229.5,-999.25,-999.25,-999.25,-999.25,1,well 1
230,-999.25,-999.25,-999.25,-999.25,1,well 1
230.5,-999.25,-999.25,-999.25,-999.25,1,well 1
231,-999.25,-999.25,-999.25,-999.25,1,well 1
231.5,-999.25,-999.25,-999.25,-999.25,1,well 1
232,-999.25,-999.25,-999.25,-999.25,1,well 1
232.5,-999.25,-999.25,-999.25,-999.25,1,well 1
233,-999.25,-999.25,-999.25,-999.25,1,well 1
233.5,-999.25,-999.25,-999.25,-999.25,1,well 1
234,-999.25,-999.25,-999.25,-999.25,1,well 1
234.5,-999.25,-999.25,-999.25,-999.25,1,well 1
235,-999.25,-999.25,-999.25,-999.25,1,well 1
235.5,-999.25,-999.25,-999.25,-999.25,1,well 1
236,-999.25,-999.25,-999.25,-999.25,1,well 1
236.5,-999.25,-999.25,-999.25,-999.25,1,well 1
237,-999.25,-999.25,-999.25,-999.25,1,well 1
237.5,-999.25,-999.25,-999.25,-999.25,1,well 1
238,-999.25,-999.25,-999.25,-999.25,1,well 1
238.5,-999.25,-999.25,-999.25,-999.25,1,well 1
239,-999.25,-999.25,-999.25,-999.25,1,well 1
